TeamId,TeamName,SubmissionDate,Score
3763673,Sag3x,2019-12-06 22:36:43,0.01729
3827358,tkfmy,2019-12-06 22:36:43,0.01904
3975966,V B,2019-12-06 22:36:43,0.01245
3777199,YQ_Wu,2019-12-06 22:36:43,0.01237
3983044,kes | Glib Kechyn,2019-12-06 22:36:43,0.01244
3871748,Keisuke Shoji,2019-12-06 22:36:43,0.01243
3788573,golden_wind,2019-12-06 22:36:43,0.01237
4018420,Mocha,2019-12-06 22:36:43,0.01244
3796208,stdy,2019-12-06 22:36:43,0.01242
4022273,Jan Bre,2019-12-06 22:36:43,0.01244
4017386,Oregin,2019-12-06 22:36:43,0.01239
3816903,bm13800,2019-12-06 22:36:43,0.01242
3766481,Lee_Chen,2019-12-06 22:36:43,0.01242
3808989,Calanin,2019-12-06 22:36:43,0.01246
3775248,Andrey Pavlov,2019-12-06 22:36:43,0.01518
3771822,poteman,2019-12-06 22:36:43,0.01243
3811976,shirapon,2019-12-06 22:36:43,0.01242
3992451,[ods.ai] Learn2Play,2019-12-06 22:36:43,0.01236
3781260,Yugendran,2019-12-06 22:36:43,0.3116
4017297,Alvis Wong,2019-12-06 22:36:43,0.01241
3937371,Bonum,2019-12-06 22:36:43,0.01243
3827247,pushpendra,2019-12-06 22:36:43,0.01244
3946736,Uri Z,2019-12-06 22:36:43,0.0132
3827247,pushpendra,2019-12-06 22:36:43,0.01242
3973622,colligo,2019-12-06 22:36:43,0.01243
3833758,DavidGbodiOdaibo,2019-12-06 22:36:43,0.01254
3812692,syasyasyasyathx,2019-12-06 22:36:43,0.01243
3933233,shuheioka,2019-12-06 22:36:43,0.01242
3860614,BetterThanButter,2019-12-06 22:36:43,0.01242
3961304,Zashio,2019-12-06 22:36:43,0.01241
3766934,xct,2019-12-06 22:36:43,0.01248
3904464,Ahyoung Song,2019-12-06 22:36:43,0.0132
3904464,Ahyoung Song,2019-12-06 22:36:43,0.0132
3801449,Darko Androcec,2019-12-06 22:36:43,0.01243
3966848,Ivan Tellurian,2019-12-06 22:36:43,0.01243
3812551,newhand,2019-12-06 22:36:43,0.01252
3766934,xct,2019-12-06 22:36:43,0.01247
3774589,kr0610_cho,2019-12-06 22:36:43,0.01243
4018977,Kranti Kumar,2019-12-06 22:36:43,0.01479
3781052,MLS,2019-12-06 22:36:43,0.01243
3777594,Takahiro,2019-12-06 22:36:43,0.01241
3827794,tito,2019-12-06 22:36:43,0.01246
3781400,Kohey,2019-12-06 22:36:43,0.01252
3768639,sakuragi123,2019-12-06 22:36:43,0.01243
3771693,WNYSAC,2019-12-06 22:36:43,0.01242
3868687,littlexiaogui,2019-12-06 22:36:43,0.01243
3764434,John Kyvetos,2019-12-06 22:36:43,0.01247
3765380,Shohei Goda,2019-12-06 22:36:43,0.01448
3787731,Val An,2019-12-06 22:36:43,0.01243
3816940,jangsangho,2019-12-06 22:36:43,0.01244
3772589,Bilegzaya ,2019-12-06 22:36:43,0.01244
3903538,mehrler,2019-12-06 22:36:43,0.01316
3766799,Prashant Kikani,2019-12-06 22:36:43,0.01234
3777999,Kien. Y. Knot,2019-12-06 22:36:43,0.0124
3774811,siero,2019-12-06 22:36:43,0.01242
3768584,Yimin Nie,2019-12-06 22:36:43,0.01241
4015356,Akshan Sameullah,2019-12-06 22:36:43,0.01243
4015356,Akshan Sameullah,2019-12-06 22:36:43,0.01243
3791266,Anurag Trivedi,2019-12-06 22:36:43,0.01243
3997740,shyjin,2019-12-06 22:36:43,0.0124
3772569,Shohei Yamaguchi,2019-12-06 22:36:43,0.01479
4018266,M.G.G,2019-12-06 22:36:43,0.01244
3932734,seele1917,2019-12-06 22:36:43,0.01243
3773159,Kishore M,2019-12-06 22:36:43,0.01243
3875775,Guna Sekhar,2019-12-06 22:36:43,0.01243
3816407,Turing,2019-12-06 22:36:43,0.01244
3763187,Fall of the Jedi,2019-12-06 22:36:43,0.01199
